9,7.00001,4,12,7.99999,10,5,11,26,9.99999,4,9.00001,13,7,4,7,12,13,5.00001,8.00001,5,4,6.99999,7.00001,7.99999,4,4,4,4,9.00001,6,6,4.99999,5,4,5.00001,5,4,4,5.00001,6,8,6,4,5,6.00001,11,7,6.99998,5.99999,8.99999,4.00001,4.00001,11,4,16,11,13,8.00001,6.00001,4.99999,7.99999,9.00001,9.99998,13,8.00001,4.00001,3.99998,4.99999,5.00001,4.00001,8,8,4,4.99999,4.00001,5.00001,12,6,6.00001,7,13,4.00001,9,9.00001,7.00001,10,6.99998,11,7,3.00001,5,9,8.99999,11,21,5.00001,13,17,8.99998,
6,7.00001,6.00001,5,7.00001,7,5,12,8,9.00001,3,10,10,11,5.00001,5,4.99999,6.00001,4.99999,4.00001,5.99999,5,5.00001,7.00001,6,4,7.00001,9.99996,9.00001,6.99999,4,9.00001,14,6,12,5,13,3,6,7.00001,6.99999,6,6.00001,4,7.99998,5.99999,4,4.99998,3,6.99997,4.00001,5.00001,6,6.00001,3.99999,3.99999,5.00001,11,9.00002,6,11,9.99997,13,11,10,5,6.00001,13.9999,5,4,7.00001,8,5,4,4.99999,9,8.00002,4.00001,4.00001,3.00001,3.99999,3,5,6.00001,7.00001,6,8,5.99999,7.00001,9,4.00001,11,7.99997,6,6.00002,8,5.00001,7,9.00002,6.99999,
6,5.99999,9.00001,4,8.00001,5.00001,4,4,5,7,10,5,7.00001,3,5,6,5,6,8.00001,6,13,10,5.00001,12,5,9,8.00001,6.99999,4,4,5,5.99999,7.00001,6,4,9.00001,9,3,7.00001,9.00001,11,6.99999,8.00001,7,5.99999,4.00001,4,10,7.00001,11,5,7.00001,5,4,7.99998,3,3.00001,3.00001,4.00001,5,4.99999,10.9999,8.00001,6.00001,7.00001,8,6.00001,9,6.99997,6,6.00001,7.00001,10,4.99999,5,5.00001,5.00001,5.00001,3.00001,17,4,4.99999,5.99999,8.00001,5.00001,7,9.99996,5.99998,7.00001,9,6,12,13,5.99999,10,9.00001,7.00001,3.00001,5,4,
5.00001,4,5,5.00001,5.99999,3,4,5,5,3,4,4.99999,7,7,4.00001,6,4,4,7,10,5,11,7,4,5,4,4,6,5,4.00001,13,6.99999,5,7,4,5,7.99998,8,4.00001,4,7,7,3.00001,4,6.99999,7.00001,11,4,14,12,22,5.00001,8.00002,5,4.99999,7.99997,4.00001,6,10,7,14.9999,5.99998,6,11,14,9,6.00001,4,8.99999,7,5,4.00001,6.00001,5.99998,5.99998,8.99998,6,6,4.00001,6.00001,5,5.99998,8.00001,7.00001,6.00001,15,9,5,4,6.00001,7.00001,9.00001,9.99999,6.99998,13,5.00001,7.00001,9.00001,9.00001,5.99999,
6,7.99998,5.00001,4.00001,6.00001,3,3,7.00001,3.99999,6,18,9,5,7,4,12,5.99999,12,10,9.99999,12,4.99999,4.00001,5.99999,7,4,6.99999,6,3,5,6,11,12,7,4,4.00001,4,9.99999,4,4.00001,15,9.99999,4,8.99998,4,5.00001,7,6.99998,7,4,11,4.00001,12,19,10.9999,5.99999,6,18,6,9.99998,5.99999,5,5.00001,5.00001,6.00001,8.00001,6.00001,4,6.99999,4,6,16,9.99998,3.99998,4.99999,6.00001,5.99999,5,6.00001,9,6.99999,5,9,7.00001,8.00001,5.00001,3,5.99998,10,4,9.00001,13,21,13,9.00002,6,5.00001,7.00001,10,3,
5,4,4.99999,7.00001,8,6,5.00001,4,3,4,8,11,12,3,3,6,5.99999,8.99999,4.99999,4,5.00001,5.99999,8.00001,5,6,10,5.00001,4.99999,2,3,6.99999,11,5.00001,4,5,4.00001,3.99999,4,8,2,18,5,5,3,4,6.00001,5,7,9.00001,15,8,15,9.00001,7.00001,7.99997,9.99999,9,5,8,12,9.99999,4,8.00001,10,25,4.00001,6.00001,6.99997,7.99998,5,3.00001,6.00001,11,8.99999,7.99997,6.00001,9.99999,6,5.99999,7,5,6.99998,6.00001,6,12,4.00001,3.99998,4,8,5,5,9.00001,9.99997,11,11,10,4.00001,5.99999,6.00001,3.99999,
7,3,6.99998,4.99999,7,6.99998,6.99999,6,5.00001,5.00001,6,8,4,3,4,4,9,5,3,4,8,5,8.00001,10,5.99999,8,6.00001,9.99999,4,6,4.99999,5.99998,12,7,4,7.00001,7.99999,14,3.00001,3,6.99999,4,3,7,10,6.00001,6.99999,7.99999,9,7,4,6.00001,5.00001,4.00001,18,6.99999,8.00001,9,4.00001,9,7,6,36,11,7.00001,11,4.99999,6.99999,6.99998,5.00001,7.00001,7,10,7.99998,3.99999,3,7.00001,5.00001,7.00001,6,4,2,6.00001,5.99999,4.00001,6.00001,4.99999,12,12,6.99999,7.00001,15,20,6.99999,9,7,8.99999,5,8,6.99999,
4,5.99999,4,6.99999,18,9,11,9.00001,5,3,3,6,17,8,4,4,4,3,6,6,4.00001,5,5.00001,4,9.99999,6,6.00001,3.99999,3.99999,5,4.99999,4.99999,6.00001,3,9,13,5,6,5.99999,4,4,7,4.00001,6.00001,3.99999,4.00001,6.99999,4,5.00001,5,5,7.00001,6,6.00001,11,5.99998,6.00001,9,6.00001,6.00001,4.99999,7.99999,7.00001,14,4,6.00001,8,7.99998,18,9.00001,8,7.00001,6,5,4.99999,7,3.00001,4,3.00001,9.99997,6,9.99998,7.99999,8.00001,4,3.00001,3,6,4,4.99999,10,9,6.99998,4.99999,5,8.00001,4.00001,10,5.00001,2.99999,
4.00001,7,4,4,6.00001,9.99999,7,4,3,4.99999,11,9,5,7,6.00001,8.00001,4,4,8.00001,5.00001,4,7,9,5.00001,5.99998,5.00001,4.00001,4,4,7,4,8,15,8.00001,4,12,6.99999,9,9,4,5,6.99999,4,6,5,15,3,9.99999,5,4,12,8.00001,6.00001,8,4,4.99999,6.00001,7.00002,6.00001,6.00001,7.99999,8.99999,6.00001,5.00001,7,8,8,7.99998,4.99997,4.00001,4,6.00001,7,4.99999,3.99999,6,3,4.00001,4,8.99998,5.99998,6.99998,4.00001,4.00001,5.00001,4.00001,4,4.99999,9.00002,15,4.00001,7.00001,3,4.99999,4,15,8,9,6,3.99999,
4,24,4,4,7.00001,3,7,5,5,8.00001,5,5,3.00001,4,8,4,4,7.00001,6,10,8.00001,4,6.00001,6.00001,5,6.00001,8.00001,12,6,6.00001,10,5.99999,6.00001,6,6,11,5.99998,5,9.00002,4.00001,7,5,5,5,4,3.00001,5,6,3.00001,9,3,8.00001,10,7.00001,6.99999,6.99999,6.00001,12,8.00002,13,6,8.99999,7.00001,7,6.00001,5,3.00001,6.99999,4,3.00001,5.00001,5.00001,10,11,7.99999,6.00001,8.00002,8.00001,5,4,4,3,4.00001,6,9.00002,6.00001,4.99998,4.99999,10,6.00001,3,14,8.99999,11,5,5,6,6.00001,9.99999,4,
